Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2025-06-16,TAMWORTH,1,COMANCHERIA,5,SHANNEN LLEWELLYN,Jane Clement,23.0,,1600,MDN,SOFT5,FINE,12
2025-06-16,TAMWORTH,1,DEJA ZOU,1,KODY NESTOR,Sally Torrens,151.0,,1600,MDN,SOFT5,FINE,12
2025-06-16,TAMWORTH,1,FANTASTIC BEAST,2,BEN LOOKER,Melanie O'Gorman,13.0,3.0,1600,MDN,SOFT5,FINE,12
2025-06-16,TAMWORTH,1,MISS YOU SO,3,LEESHELLE SMALL,Rodney Northam,9.0,,1600,MDN,SOFT5,FINE,12
2025-06-16,TAMWORTH,1,TAKETHEMONEYANDRUN,4,SHAE WILKES,Gavin Groth,5.5,,1600,MDN,SOFT5,FINE,12
2025-06-16,TAMWORTH,1,TWENTY FOUR GUNS,9,AARON BULLOCK,Todd Howlett,7.0,,1600,MDN,SOFT5,FINE,12
2025-06-16,TAMWORTH,1,FEJER DAWN,7,ROBBIE DOWNEY,Annabel & Rob Archibald,4.4,1.0,1600,MDN,SOFT5,FINE,12
2025-06-16,TAMWORTH,1,IT'S A WRITTEN,10,MIKAYLA WEIR,Craig Clegg,6.0,4.0,1600,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,1,LADY FELINA,12,GRANT BUCKLEY,Annabel & Rob Archibald,0.0,,1600,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,1,PATHELIA,11,JAKE PRACEY-HOLMES,John Ramsey,0.0,,1600,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,1,REAL HOUSEWIVES,8,SIENA GRIMA,Sally Torrens,13.0,,1600,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,1,REDALUCA GIRL,6,JAKE PRACEY-HOLMES,Mark Milton,6.0,2.0,1600,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,2,OUR BOY TOM,10,SIENA GRIMA,Michelle Fleming,61.0,,1200,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,2,CONSIDERED,5,IZZY NEALE,Cody Morgan,1.7,3.0,1200,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,2,PRIDE OF NATIONS,3,KODY NESTOR,Sue Grills,26.0,,1200,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,2,LAST LALIQUE,9,NOT NOTIFIED,Scott Singleton,0.0,,1200,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,2,BE SHARP,2,LEESHELLE SMALL,Rodney Northam,7.5,,1200,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,2,ALL TOO VEGAS,11,BEN LOOKER,Stirling Osland,81.0,,1200,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,2,EPIC STATEMENT,7,LUKE ROLLS,Todd Howlett,8.0,,1200,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,2,HALLE BEE,1,SHANNEN LLEWELLYN,Craig Martin,11.0,,1200,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,2,HEFTY PRICE,9,BRONTE SIMPSON,Jane Clement,16.0,2.0,1200,MDN,SOFT5,OCAST,12
2025-06-16,TAMWORTH,2,INSAIN FLAME,8,WENDY PEEL,Troy O'Neile,151.0,,1200,MDN,SOFT5,OCAST,12
