Date,Track,Race Number,Horse,Barrier,Jockey,Trainer,SP,Finish Position,Race Distance,Class,Track Condition,Weather,Total Runners
2025-05-09,GRAFTON,1,GO MILLO,3,BORIS THORNTON,Indiana Turner,15.0,,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,SOLAR POWER,3,LUKE ROLLS,Colt Prosser,3.4,,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,MAUI,4,JACK BAKER,Peter Cheers,13.0,2.0,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,NATURE BOY,7,EMILY FARR,Lea Selby,5.5,1.0,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,CASTEL TROSINO,10,DANNY PEISLEY,Terry Commerford,4.4,4.0,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,SUN TOPAZE,5,KIRK MATHESON,Shane Everson,14.0,,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,WOLF DANCER,9,STEPHEN CUMMINS,Brett Dodson,17.0,,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,HARDASH,6,SHAE WILKES,Peter Cheers,23.0,3.0,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,CHARMED DESTINY,1,TEIGHAN WORSNOP,John Sprague,4.6,,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,STRATUM CHIEF,11,PETER GRAHAM,Tom Higgins,26.0,,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,GOLD SOMETHING,2,JEFF KEHOE,Margaret De Gonneville,151.0,,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,STRONG LATTE,8,BELLA YOUNGBERRY,Shannon Manwarring,151.0,,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,1,MAMMOTH MOUNTAIN,2,WENDY PEEL,Paddy Cunningham,1.01,,2245,BM58,SOFT6,OCAST,13
2025-05-09,GRAFTON,2,HOMELAND,3,DANNY PEISLEY,Greg Howells,3.7,4.0,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,2,PRIDE OF GLASGOW,4,ANTHONY ALLEN,John Higgins,3.0,2.0,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,2,SHARMAN PETE,8,ANDREW MALLYON,Matthew Dunn,6.0,,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,2,TEMPLE BELLS,2,PETER GRAHAM,Colin Hughes,10.0,3.0,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,2,CLEVER ILLUSION,5,JACK BAKER,Peter Cheers,17.0,,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,2,COMBS,7,TEIGHAN WORSNOP,Stephen Farley,34.0,,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,2,LABARNA,6,JAI WILLIAMS,Stephen Lee,4.6,1.0,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,2,MINISTER GARRETT,5,NOT NOTIFIED,Samantha McGuren,61.0,,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,2,MOANA KOHALA,1,LUKE ROLLS,John Shelton,10.0,,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,2,NEO TORA,9,NOT NOTIFIED,Daniel Wheeler,151.0,,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,2,OPPA,9,NORIYUKI MASUDA,Shannon Manwarring,41.0,,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,2,STAR LACY,1,EMILY FARR,Annette Lee,101.0,,1435,MDN,SOFT6,OCAST,12
2025-05-09,GRAFTON,3,BARRON,18,NOT NOTIFIED,Sharon Pepper,23.0,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,HEZANUFF,9,DANNY PEISLEY,Chris Manson,11.0,2.0,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,JEUNETOS,2,SHAE WILKES,Julie Lynch,61.0,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,SANTOS EL HALPER,6,MIKAYLA WEIR,David Campbell,41.0,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,TERRATILLI,9,JAI WILLIAMS,Stephen Lee,81.0,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,ZOUANDME,6,TEIGHAN WORSNOP,Scott Henley,4.4,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,ANGELINTHENIGHTSKY,5,JEFF KEHOE,Jeff Kehoe,81.0,4.0,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,LUCKY NEKO,7,ANDREW MALLYON,Matthew Dunn,3.2,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,SHACKAMAXON,10,SIENA GRIMA,Joseph Burges,13.0,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,ULTIMATE SAY,1,MATTHEW MCGUREN,Tony Newing,5.5,1.0,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,DIRTY DOES IT,8,LUKE ROLLS,Robert Agnew,9.0,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,OL' MATE COOP,3,BEN LOOKER,Tony Newing,5.5,3.0,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,KERMAWI,4,PETER GRAHAM,Peter Graham,101.0,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,RIZU,17,NOT NOTIFIED,Rocky Simonetta,1.01,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,BOLD ZARA,16,NOT NOTIFIED,Stephen Lee,1.01,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,SHIRLEY PEARLY,1,NOT NOTIFIED,Marcus Wilson,1.01,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,MAGNOLIA JEWEL,7,NOT NOTIFIED,Tracey Bartley,1.01,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,3,RUBY'S DOUBLE,10,NOT NOTIFIED,Ridge Wilson,1.01,,1130,MDN,SOFT6,OCAST,18
2025-05-09,GRAFTON,4,CABSAV,6,EMILY FARR,John Shelton,3.0,3.0,1130,BM58,SOFT6,OCAST,18
2025-05-09,GRAFTON,4,HIDDEN HAIL,7,RAYMOND SPOKES,Shane Everson,19.0,4.0,1130,BM58,SOFT6,OCAST,18
2025-05-09,GRAFTON,4,OSTRACISED,12,ANDREW MALLYON,Donna Grisedale,11.0,,1130,BM58,SOFT6,OCAST,18
2025-05-09,GRAFTON,4,COOL FIZZ,5,BELLA YOUNGBERRY,Brett Dodson,4.2,,1130,BM58,SOFT6,OCAST,18
2025-05-09,GRAFTON,4,MONARCH EXPRESS,11,SHAE WILKES,Jordan Lee,4.4,,1130,BM58,SOFT6,OCAST,18
